Reggie Gilliam,28,41,73,243,79,Toledo,5,BUF,FB
Rome Odunze,23,15,75,212,79,Washington,1,CHI,WR
Romeo Doubs,25,87,74,204,79,Nevada,3,GB,WR
Sean Murphy-Bunting,28,23,72,195,79,Central Michigan,6,ARI,CB
Shaquill Griffin,30,24,72,198,79,UCF,8,SEA,CB
T'Vondre Sweat,24,93,77,366,79,Texas,1,TEN,DT
Taylor Rapp,27,9,72,208,79,Washington,6,BUF,SS
Terrel Bernard,26,8,73,224,79,Baylor,3,BUF,MLB
Tommy Townsend,28,6,73,191,79,Florida,5,HST,P
Tucker Kraft,24,85,77,259,79,S. Dakota St.,2,GB,TE
